Time,Frame,X,Y
0:0:1 ,1,1018.33,301.78
0:0:1 ,1,882.71,436.79
0:0:1 ,1,847.19,494.5
0:0:1 ,1,741.86,488.59
0:0:1 ,1,734.09,367.55
0:0:1 ,1,301.2,433.37
0:0:1 ,1,537.79,196.31
0:0:1 ,1,489.02,28.64
0:0:1 ,1,415.79,45.64
0:0:1 ,1,400.83,278.04
0:0:1 ,1,261.83,17.63
0:0:2 ,2,1256.08,595.18
0:0:2 ,2,1145.54,644.39
0:0:2 ,2,1040.16,89.24
0:0:2 ,2,840.6,92.44
0:0:2 ,2,950.0,674.0
0:0:2 ,2,841.42,370.28
0:0:2 ,2,578.03,552.83
0:0:2 ,2,601.79,87.8
0:0:2 ,2,515.28,198.99
0:0:2 ,2,181.27,433.37
0:0:2 ,2,350.98,396.23
0:0:2 ,2,88.99,51.75
0:0:3 ,3,1239.5,108.65
0:0:3 ,3,1229.5,440.5
0:0:3 ,3,1120.96,379.51
0:0:3 ,3,1137.0,58.0
0:0:3 ,3,1079.51,46.3
0:0:3 ,3,1018.07,245.94
0:0:3 ,3,977.0,548.5
0:0:3 ,3,851.05,57.39
0:0:3 ,3,795.04,172.31
0:0:3 ,3,572.52,577.26
0:0:3 ,3,499.79,202.84
0:0:3 ,3,388.84,488.88
0:0:3 ,3,351.0,596.0
0:0:3 ,3,329.5,368.5
0:0:3 ,3,235.53,596.28
0:0:3 ,3,143.46,350.8
0:0:3 ,3,144.26,35.68
0:0:3 ,3,117.5,194.0
0:0:3 ,3,27.83,23.13
0:0:3 ,3,25.5,406.5
0:0:3 ,3,20.5,494.5
0:0:4 ,4,1225.0,33.5
0:0:4 ,4,1139.14,52.96
0:0:4 ,4,1126.52,288.02
0:0:4 ,4,1110.97,227.52
0:0:4 ,4,1015.5,223.5
0:0:4 ,4,873.39,36.78
0:0:4 ,4,626.72,640.24
0:0:4 ,4,507.04,514.66
0:0:4 ,4,434.43,621.11
0:0:4 ,4,344.7,579.53
0:0:5 ,5,337.0,621.5
0:0:6 ,6,1091.69,479.01
0:0:7 ,7,342.89,521.49
0:0:8 ,8,330.6,519.97
0:0:13 ,13,340.0,624.0
0:0:18 ,18,1192.86,390.87
0:0:18 ,18,1218.47,162.13
0:0:18 ,18,1171.74,522.3
0:0:18 ,18,905.45,267.39
0:0:18 ,18,420.79,498.6
0:0:18 ,18,792.92,242.93
0:0:18 ,18,706.0,368.95
0:0:18 ,18,724.62,243.76
0:0:18 ,18,462.38,150.57
0:0:18 ,18,286.67,73.19
0:0:18 ,18,249.6,368.69
0:0:18 ,18,98.62,235.21
0:0:18 ,18,79.38,30.83
0:0:18 ,18,124.0,290.48
0:0:18 ,18,48.24,91.37
0:0:19 ,19,1192.0,386.5
0:0:19 ,19,1032.4,185.67
0:0:19 ,19,1007.83,323.81
0:0:19 ,19,1044.08,117.16
0:0:19 ,19,1007.05,38.13
0:0:19 ,19,851.88,38.93
0:0:19 ,19,687.26,636.54
0:0:19 ,19,564.35,619.32
0:0:19 ,19,438.5,368.5
0:0:19 ,19,421.41,549.94
0:0:19 ,19,427.0,640.0
0:0:19 ,19,352.75,608.93
0:0:19 ,19,225.0,598.5
0:0:21 ,21,1101.39,483.44
0:0:26 ,26,10.92,487.0
0:0:27 ,27,358.5,534.0
0:0:29 ,29,357.0,533.5
0:0:30 ,30,1093.95,481.18
0:0:30 ,30,871.16,74.82
0:0:31 ,31,360.0,532.5
0:0:32 ,32,346.0,532.5
0:0:33 ,33,1045.81,120.85
0:0:33 ,33,357.17,534.13
0:0:35 ,35,1089.7,487.35
0:0:36 ,36,1101.9,477.12
0:0:37 ,37,340.5,628.0
0:0:38 ,38,341.32,511.2
0:0:39 ,39,582.5,671.0
0:0:41 ,41,575.5,668.5
0:0:42 ,42,361.0,531.0
0:0:49 ,49,1121.51,639.24
0:0:49 ,49,953.88,661.1
0:0:49 ,49,823.69,386.1
0:0:49 ,49,881.56,434.25
0:0:50 ,50,1044.74,244.45
0:0:50 ,50,1233.32,570.7
0:0:50 ,50,1175.72,667.91
0:0:50 ,50,1166.5,534.0
0:0:50 ,50,1019.41,596.85
0:0:50 ,50,497.69,498.7
0:0:50 ,50,754.08,241.76
0:0:50 ,50,722.5,124.5
0:0:50 ,50,585.2,36.26
0:0:50 ,50,527.36,105.83
0:0:50 ,50,181.83,192.02
0:0:50 ,50,404.67,52.66
0:0:50 ,50,239.79,45.39
0:0:50 ,50,140.73,374.27
0:0:50 ,50,77.03,44.47
0:0:50 ,50,104.25,581.45
0:0:50 ,50,60.79,358.67
0:0:50 ,50,29.0,685.0
0:0:50 ,50,24.0,498.5
0:0:51 ,51,1186.6,613.15
0:0:51 ,51,1170.5,512.5
0:0:51 ,51,670.34,110.31
0:0:52 ,52,1161.01,187.76
0:0:52 ,52,1232.5,619.0
0:0:52 ,52,1025.0,605.5
0:0:52 ,52,976.52,98.49
0:0:52 ,52,725.22,521.2
0:0:52 ,52,851.22,308.9
0:0:52 ,52,837.0,134.5
0:0:52 ,52,730.6,28.87
0:0:52 ,52,604.83,667.4
0:0:52 ,52,461.2,236.06
0:0:52 ,52,238.79,316.87
0:0:52 ,52,440.59,20.33
0:0:52 ,52,206.5,579.5
0:0:52 ,52,143.0,560.5
0:0:53 ,53,22.27,332.25
0:0:55 ,55,1041.85,548.83
0:0:55 ,55,909.3,558.12
0:0:55 ,55,914.25,244.26
0:0:55 ,55,859.0,372.0
0:0:55 ,55,833.98,600.11
0:0:55 ,55,579.31,498.43
0:0:55 ,55,684.18,28.74
0:0:55 ,55,337.28,34.94
0:0:55 ,55,323.03,514.92
0:0:55 ,55,333.5,618.0
0:0:55 ,55,238.33,205.27
0:0:55 ,55,239.0,657.5
0:0:55 ,55,94.5,502.5
0:0:55 ,55,87.5,216.5
0:0:55 ,55,78.0,682.0
0:0:56 ,56,425.19,161.77
0:0:56 ,56,291.88,22.27
0:0:56 ,56,107.96,347.28
0:0:56 ,56,141.06,32.91
0:0:56 ,56,131.5,218.5
0:0:56 ,56,113.63,655.64
0:0:56 ,56,45.63,64.59
0:0:56 ,56,31.38,225.52
0:0:57 ,57,1120.2,193.75
0:0:57 ,57,1121.54,555.61
0:0:57 ,57,916.5,412.5
0:0:57 ,57,823.85,46.77
0:0:57 ,57,560.81,580.39
0:0:57 ,57,706.5,58.5
0:0:57 ,57,568.0,130.5
0:0:57 ,57,341.5,372.5
0:0:58 ,58,573.0,42.5
0:0:58 ,58,175.47,33.31
0:0:58 ,58,161.1,119.27
0:0:58 ,58,126.5,688.0
0:0:58 ,58,47.87,64.93
0:0:58 ,58,39.5,193.5
0:0:59 ,59,726.59,531.45
0:0:59 ,59,1111.5,287.0
0:0:59 ,59,1002.01,45.71
