Time,Frame,X,Y
0:0:57 ,57,538.75,179.75
0:0:57 ,57,506.89,378.14
0:0:57 ,57,454.5,88.0
0:0:57 ,57,362.5,422.5
0:0:59 ,59,496.23,379.26
0:0:59 ,59,357.0,430.5
0:1:1 ,61,679.5,521.5
0:1:1 ,61,584.26,122.2
0:1:1 ,61,560.06,184.68
0:1:1 ,61,445.05,116.6
0:1:2 ,62,566.53,186.87
0:1:3 ,63,441.0,103.0
0:1:4 ,64,566.19,185.66
0:1:5 ,65,449.96,122.85
0:1:7 ,67,583.01,128.59
0:1:7 ,67,580.0,182.0
0:1:7 ,67,457.01,124.01
0:1:8 ,68,442.17,115.99
0:1:9 ,69,550.91,179.62
0:1:9 ,69,482.24,137.18
0:1:9 ,69,447.19,409.27
0:1:9 ,69,403.5,563.0
0:1:9 ,69,60.11,267.59
0:1:10 ,70,568.53,274.49
0:1:10 ,70,538.5,176.5
0:1:10 ,70,543.5,321.5
0:1:12 ,72,598.4,291.27
0:1:12 ,72,446.94,104.12
0:1:13 ,73,536.59,182.23
0:1:14 ,74,739.41,236.87
0:1:14 ,74,601.88,289.37
0:1:14 ,74,456.5,255.0
0:1:15 ,75,425.0,538.0
0:1:16 ,76,665.5,102.5
0:1:17 ,77,448.72,112.38
0:1:18 ,78,575.8,125.96
0:1:18 ,78,450.98,120.0
0:1:19 ,79,570.76,181.98
0:1:20 ,80,554.33,182.43
0:1:21 ,81,453.5,105.0
0:1:25 ,85,551.4,177.29
0:1:37 ,97,973.0,252.0
0:1:39 ,99,534.0,182.5
0:2:6 ,126,501.77,378.12
0:2:7 ,127,509.17,360.3
0:2:7 ,127,440.0,437.5
0:2:7 ,127,361.0,417.0
0:2:10 ,130,553.5,178.5
0:2:11 ,131,550.0,179.5
0:2:24 ,144,566.5,171.0
0:2:25 ,145,633.0,166.0
0:2:26 ,146,458.91,114.42
0:2:27 ,147,526.95,194.49
0:2:27 ,147,453.66,113.96
0:2:27 ,147,23.02,20.04
0:2:28 ,148,638.66,163.56
0:2:29 ,149,598.5,165.0
0:2:29 ,149,576.5,123.0
0:2:29 ,149,451.95,111.69
0:2:30 ,150,584.0,176.5
0:2:31 ,151,533.75,181.05
0:2:36 ,156,366.0,263.0
0:2:36 ,156,103.55,257.29
0:2:38 ,158,444.73,113.76
0:2:39 ,159,526.5,185.5
0:2:44 ,164,27.5,22.5
0:2:50 ,170,593.94,172.86
0:2:51 ,171,604.5,307.0
0:2:51 ,171,452.61,405.55
0:2:52 ,172,538.0,188.0
0:2:52 ,172,451.2,110.59
0:2:53 ,173,446.97,113.01
0:2:56 ,176,506.0,382.5
0:2:58 ,178,452.3,121.23
0:3:0 ,180,585.36,121.41
0:3:0 ,180,457.6,109.16
0:3:1 ,181,506.25,375.78
0:3:1 ,181,79.0,252.5
0:3:2 ,182,489.24,377.01
0:3:2 ,182,437.5,440.0
0:3:3 ,183,1041.5,371.5
0:3:3 ,183,601.88,162.45
0:3:3 ,183,534.68,180.59
0:3:4 ,184,579.86,154.56
0:3:4 ,184,601.0,222.5
0:3:4 ,184,494.08,384.7
0:3:4 ,184,432.5,447.5
0:3:4 ,184,363.5,422.0
0:3:4 ,184,330.5,357.5
0:3:5 ,185,677.0,522.0
0:3:5 ,185,585.5,68.5
0:3:5 ,185,446.81,129.51
0:3:6 ,186,424.57,135.85
0:3:7 ,187,577.33,130.49
0:3:7 ,187,468.52,131.79
0:3:8 ,188,449.48,131.48
0:3:9 ,189,643.92,164.68
0:3:10 ,190,506.53,376.85
0:3:10 ,190,359.07,426.49
0:3:12 ,192,577.68,172.67
0:3:12 ,192,457.04,116.67
0:3:13 ,193,434.77,123.65
0:3:14 ,194,489.7,403.98
0:3:14 ,194,455.05,123.86
0:3:14 ,194,398.81,124.04
0:3:14 ,194,363.5,424.5
0:3:15 ,195,596.84,174.77
0:3:16 ,196,432.41,110.66
0:3:17 ,197,522.87,183.11
0:3:19 ,199,580.2,117.59
0:3:19 ,199,526.5,183.5
0:3:19 ,199,497.54,398.0
0:3:19 ,199,451.68,109.16
0:3:19 ,199,355.0,435.0
