Time,Frame,X,Y
0:0:1 ,1,640.0,360.0
0:0:2 ,2,640.0,360.0
0:0:3 ,3,640.0,360.0
0:0:4 ,4,640.0,360.0
0:0:6 ,6,640.0,360.0
0:0:7 ,7,640.0,360.0
0:0:8 ,8,640.0,360.0
0:0:9 ,9,640.0,360.0
0:0:10 ,10,640.0,360.0
0:0:11 ,11,640.0,360.0
0:0:12 ,12,640.0,360.0
0:0:13 ,13,138.17,33.42
0:0:15 ,15,640.0,360.0
0:0:16 ,16,640.0,360.0
0:0:17 ,17,640.34,359.97
0:0:18 ,18,640.0,360.0
0:0:19 ,19,640.0,360.0
0:0:20 ,20,122.57,55.73
0:0:21 ,21,640.0,360.0
0:0:23 ,23,640.0,360.0
0:0:24 ,24,640.0,360.0
0:0:25 ,25,640.0,360.0
0:0:26 ,26,641.37,359.75
0:0:27 ,27,640.0,360.0
0:0:28 ,28,640.0,360.0
0:0:29 ,29,640.0,360.0
0:0:30 ,30,640.0,360.0
0:0:32 ,32,640.0,360.0
0:0:33 ,33,640.0,360.0
0:0:34 ,34,640.0,360.0
0:0:35 ,35,640.0,360.0
0:0:36 ,36,640.0,360.0
0:0:37 ,37,640.0,360.0
0:0:38 ,38,640.0,360.0
0:0:39 ,39,640.0,360.0
0:0:40 ,40,640.0,360.0
0:0:41 ,41,640.0,360.0
0:0:42 ,42,640.0,360.0
0:0:43 ,43,640.0,360.0
0:0:44 ,44,640.0,360.0
0:0:45 ,45,640.0,360.0
0:0:46 ,46,640.0,360.0
0:0:47 ,47,640.0,360.0
0:0:48 ,48,640.0,360.0
0:0:49 ,49,640.0,360.0
