"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.16875,0.16875
"web asymmetry",-0.230769230769231,-0.230769230769231
"links per species",2.07692307692308,2.07692307692308
"number of compartments",2,2
"compartment diversity",1.1770645027989,1.1770645027989
"cluster coefficient",0.09375,0.09375
"nestedness",14.0989145925535,14.1006042191054
"weighted nestedness",0.437694054426782,0.44326721022232
"weighted NODF",15.9279435336287,15.9279435336287
"interaction strength asymmetry",-0.108267719298798,-0.108267719298798
"specialisation asymmetry",0.114052411297359,0.114052411297359
"linkage density",5.14835147439364,5.14835147439364
"Fisher alpha",44.0676553730734,44.0676553730734
"Shannon diversity",4.19694608618086,4.19694608618086
"interaction evenness",0.649534435771104,0.649534435771104
"Alatalo interaction evenness",0.653900666506046,0.653900666506046
"H2",0.5290268728943,0.5290268728943
"number.of.species.HL",20,32
"mean.number.of.shared.partners.HL",1.06315789473684,1.01008064516129
"cluster.coefficient.HL",0.334917023554604,0.247644539614561
"weighted.cluster.coefficient.HL",0.50333736335701,0.6344765442138
"niche.overlap.HL",0.122998267488473,0.208279380334411
"togetherness.HL",0.0754824561403509,0.135060483870968
"C.score.HL",0.613919647603858,0.511618783602151
"V.ratio.HL",6.39320388349515,2.01193520886616
"discrepancy.HL",55,54
"extinction.slope.HL",3.27647505189018,2.57552808425778
"robustness.HL",0.75202199684846,0.713240938822888
"functional.diversity.HL",322.780126613129,273.087089580238
"partner.diversity.HL",1.76959873155174,1.08042462955472
"effective.partners.HL",7.05400157919448,3.24270136959281
"generality.HL",7.05400157919448,3.24270136959281
