"","degree","normalised.degree","nestedrank","species.strength","interaction.push.pull","PDI","resource.range","PSI","node.specialisation.index.NSI","species.specificity.index","betweenness","weighted.betweeness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Al.purpureus",3,0.15,0.548387096774194,0.160185569147833,-0.279938143617389,0.973684210526316,0.894736842105263,1,1.23333333333333,0.69295161181881,0.0213181188590226,0,0.034017971758665,0.027905147186884,1.57578366207082,0.848685557726417,2.33657354148564,0.394004282655246,0.206250919230382,0.27636957697682
"Al.tenuis",2,0.1,0.806451612903226,0.0533506831489915,-0.473324658425504,0.973684210526316,0.947368421052632,1,1.36666666666667,0.729495539869887,0.0175072168449652,0,0.0314505776636714,0.0119490559594183,2.62230102153243,0.636514168294813,1.88988157484231,0.237687366167024,0.16682111867104,0.153686535163893
"Al.tetragonoides",3,0.15,0.483870967741935,0.198836230981175,-0.267054589672942,0.967105263157895,0.894736842105263,1,1.13333333333333,0.672223287487442,0.0439042707498103,0,0.0359435173299101,0.0379666212849396,1.22254736221384,0.858740913006287,2.36018714118578,0.395980892768901,0.208335307569982,0.265383595779277
"Al.teuscheri",3,0.15,0.451612903225806,0.230545522005304,-0.256484825998232,0.968421052631579,0.894736842105263,1,1.23333333333333,0.682246675562285,0.0228115297895197,0.00696459663377829,0.034017971758665,0.0439820718370449,1.08998611406772,0.830523691482846,2.29452004628532,0.370851177730193,0.202538828903278,0.269984799463882
"Be.solanoides",2,0.1,0.645161290322581,0.357270294380018,-0.321364852809991,0.980861244019139,0.947368421052632,1,1.6,0.767009839289726,0.00179713590309617,0,0.0269576379974326,0.0361413986634426,0.619785870841506,0.579915171418101,1.78588693006866,0.207708779443255,0.157641441379152,0.503022026639416
"Bo.multiflora",4,0.2,0.354838709677419,0.337362637362637,-0.165659340659341,0.894736842105263,0.842105263157895,1,1.2,0.489659148665013,0.0646876302505442,0,0.0346598202824134,0.0168252226953752,5.2446020037566,1.32966134885476,3.77976314968462,0.34475374732334,0.333642237342079,0.244576762057038
"Bo.pardina",2,0.1,0.774193548387097,0.385057471264368,-0.307471264367816,0.982456140350877,0.947368421052632,1,1.6,0.777986605215499,0.000602046959662854,0,0.0269576379974326,0.0148682856836115,1.59180960033126,0.562335144618808,1.75476535060332,0.130620985010707,0.154894318612134,0.399240313532277
"Ce.solanifolius",6,0.3,0.129032258064516,1.49000598187326,0.0816676636455426,0.981693363844394,0.736842105263158,1,1.16666666666667,0.737790146920322,0.0383085787302772,0.220545560069646,0.0353016688061617,0.0723536775425083,2.21631571837103,0.956616295017577,2.60287419746051,0.347447675623403,0.229757457377496,0.406043094706041
"Co.ciliata",3,0.15,0.516129032258065,0.223724860045615,-0.258758379984795,0.977443609022556,0.894736842105263,1,1.23333333333333,0.718184846459608,0.0213181188590226,0.00116076610562972,0.034017971758665,0.0251878138169924,1.45308758935639,0.801818552543337,2.22959187392042,0.299143468950749,0.196807575426147,0.360594079922932
"Co.cinerea",3,0.15,0.419354838709677,0.319899440182459,-0.226700186605847,0.940789473684211,0.894736842105263,1,1.23333333333333,0.574292974294625,0.0213181188590226,0.0191526407428903,0.034017971758665,0.0383104525149285,1.05706787848553,1.05510161816864,2.87226701358574,0.394004282655246,0.253536942582384,0.291475407702761
"Co.picta",3,0.15,0.580645161290323,0.117592784573917,-0.294135738475361,0.947368421052632,0.894736842105263,1,1.23333333333333,0.597264720370147,0.0213181188590226,0,0.034017971758665,0.0166445344435739,2.38771407267496,1.01140426470735,2.74945927399721,0.365810135617416,0.242696620748287,0.211955895139063
"Fu.macrostigma",1,0.05,1,0.010989010989011,-0.989010989010989,1,1,1,1.33333333333333,1,0,0,0.0320924261874198,0.00450397678648937,8196.04299273653,0,1,0.194860813704497,0.0882706730896401,0
"Gl.oblongicalyx",1,0.05,0.870967741935484,0.032967032967033,-0.967032967032967,1,1,1,1.33333333333333,1,0,0,0.0320924261874198,0.0129026067962628,0.525260979927648,0,1,0.194860813704497,0.0882706730896401,0.190697195542506
"Gu.jaramilloi",4,0.2,0.258064516129032,0.214063290672845,-0.196484177331789,0.964912280701754,0.842105263157895,1,1.13333333333333,0.624078267696069,0.0439042707498103,0,0.0359435173299101,0.0283273125697589,2.47098287896675,1.08889997534522,2.97100409661001,0.476231263383298,0.262252531359843,0.262139933638342
