"","Andean Emerald","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Green-crowned Woodnymph","Green-crowned Brilliant","Green-fronted Lancebill","Hoary Puffleg","Purple-bibbed Whitetip","Speckled Hummingbird","Stripe-throated Hermit","Tawny-bellied Hermit","Fawn-breasted Brilliant","Gorgeted Sunangel","Tyrian Metaltail","Wedge-billed Hummingbird","White-necked Jacobin","White-whiskered Hermit"
"Alloplectus_purpureus",0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,6
"Alloplectus_tenuis",0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Alloplectus_tetragonoides",0,0,8,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0
"Alloplectus_teuscheri",0,1,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,5
"Besleria_solanoides",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Bomarea_multiflora",0,0,0,0,1,2,0,0,0,0,1,0,2,0,3,0,0,0,0
"Bomarea_pardina",0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Centropogon_solanifolius",0,1,3,0,0,0,1,0,0,0,0,0,23,0,2,0,2,0,1
"Columnea_ciliata",0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,2
"Columnea_cinerea",0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,0,0,0,8
"Columnea_picta",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
"Columnea_strigosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Fuchsia_macrostigma",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Glossoloma_oblongicalyx",0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
"Guzmania_jaramilloi",0,6,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"Heliconia_burleana",0,1,4,0,0,0,0,0,0,0,1,1,11,0,4,1,3,0,0
"Heliconia_griggsiana",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0
"Heliconia_impudica",0,0,5,0,0,0,0,0,0,4,0,1,3,0,2,7,0,0,0
"Heliconia_virginalis",0,0,0,0,0,4,0,0,0,0,0,3,1,0,2,0,0,0,9
"Macleania_bullata",0,0,1,0,7,3,0,3,0,0,0,0,4,0,0,0,0,0,0
"Melastomataceae",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Mezobromelia_capituligera",0,0,0,10,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Palicourea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0
"Palicourea_acetosoides",0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,3,0,0,0
"Palicourea_demissa",7,15,2,1,0,3,0,0,0,3,0,15,1,0,15,1,0,1,0
"Palicourea_lineata",0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
"Pitcairnia_sodiroi",0,0,10,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0
"Psammisia_aberrans",0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,15
"Psammisia_sodiroi",0,0,2,0,1,37,0,0,3,0,1,0,0,0,4,18,0,0,0
"Psammisia_ulbrichiana",0,4,17,0,2,7,0,1,0,0,0,0,1,0,2,3,0,0,1
"Renealmia_sessilifolia",0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,4,0,0,0
"Salvia_quitensis",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Wercklea_ferox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
