"","degree","normalised.degree","nestedrank","species.strength","interaction.push.pull","PDI","resource.range","PSI","node.specialisation.index.NSI","species.specificity.index","betweenness","weighted.betweeness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Alloplectus_purpureus",4,0.210526315789474,0.46875,0.175810569147833,-0.206047357713042,0.962962962962963,0.833333333333333,1,1.12903225806452,0.62271805640898,0.0291177764965635,0,0.0329545454545455,0.027316256243956,2.47098287896675,1.08889997534522,2.97100409661001,0.446516007532957,0.25706207771907,0.25113995535339
"Alloplectus_tenuis",3,0.157894736842105,0.65625,0.0689756831489915,-0.310341438950336,0.944444444444444,0.888888888888889,1,1.19354838709677,0.583333333333333,0.0162356310147664,0,0.0318181818181818,0.0136195074245065,5.4525502646135,1.03972077083992,2.82842712474619,0.329566854990584,0.244725799669495,0.116557033881874
"Alloplectus_tetragonoides",4,0.210526315789474,0.40625,0.230086230981175,-0.192478442254706,0.951388888888889,0.833333333333333,1,1.06451612903226,0.58584117006507,0.0459372169767183,0,0.0340909090909091,0.0395198181836713,1.78477289507236,1.136916591833,3.11714211053545,0.467796610169492,0.269706470076616,0.23392190284848
"Alloplectus_teuscheri",4,0.210526315789474,0.375,0.260479732531619,-0.184880066867095,0.955555555555555,0.833333333333333,1,1.12903225806452,0.606605161265156,0.0224497917035787,0,0.0329545454545455,0.0440064849927049,1.59443370600878,1.08707537716112,2.96558815039572,0.437853107344633,0.256593470358936,0.240978825967404
"Besleria_solanoides",2,0.105263157894737,0.6875,0.342796610169492,-0.328601694915254,0.97979797979798,0.944444444444444,1,1.58064516129032,0.766263984425185,0.000595238095238095,0,0.025,0.0372749088561126,0.619785870841506,0.579915171418101,1.78588693006866,0.186440677966102,0.154521431100889,0.514023264316053
"Bomarea_multiflora",5,0.263157894736842,0.28125,0.379674403985845,-0.124065119202831,0.888888888888889,0.777777777777778,1,1.09677419354839,0.438228132081453,0.0479785783930797,0,0.0335227272727273,0.0226952095781236,4.63217543822437,1.52295506753132,4.58575641234582,0.436911487758945,0.396776319701556,0.214901809287609
"Bomarea_pardina",2,0.105263157894737,0.8125,0.385057471264368,-0.307471264367816,0.981481481481482,0.944444444444444,1,1.61290322580645,0.777281587757401,0.000595238095238095,0,0.0244318181818182,0.0133194846369139,1.59180960033126,0.562335144618808,1.75476535060332,0.114877589453861,0.151828678880053,0.406584679593503
"Centropogon_solanifolius",7,0.368421052631579,0.125,1.04625598187326,0.00660799741046509,0.975845410628019,0.666666666666667,1,1.06451612903226,0.690350651508759,0.0459372169767183,0.185851318944844,0.0340909090909091,0.070600403179899,2.71744688621665,1.12727142344786,3.0872212776935,0.400445129258689,0.267117610819836,0.347235336069292
"Columnea_ciliata",4,0.210526315789474,0.4375,0.239349860045615,-0.190162534988596,0.968253968253968,0.833333333333333,1,1.12903225806452,0.65133894727893,0.0291177764965635,0.00119904076738609,0.0329545454545455,0.026707269348948,2.2612599722876,1.03356205420682,2.81106117444154,0.356959424756035,0.243223234502394,0.328180559806448
"Columnea_cinerea",4,0.210526315789474,0.34375,0.351149440182459,-0.162212639954385,0.923611111111111,0.833333333333333,1,1.12903225806452,0.512989176042577,0.0291177764965635,0.0167865707434053,0.0329545454545455,0.0388429323509218,1.54630345004692,1.28053404752388,3.5985610150933,0.451779165427694,0.311360584253061,0.262333010441726
